match_id,city,match_date,umpire1,umpire2,season,team1,team2,toss_winner,toss_decision,venue,winner,mom,inning1_bat,inning2_bat
392217,Kimberley,2009-05-09,GAV Baxter,HDPK Dharmasena,2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval,Chennai Super Kings,S Badrinath,Mumbai Indians,Rajasthan Royals
1254112,Sharjah,2021-10-02,AK Chaudhary,MA Gough,2021,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium,Delhi Capitals,AR Patel,Mumbai Indians,Delhi Capitals
829817,Mumbai,2015-05-19,HDPK Dharmasena,RK Illingworth,2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,KA Pollard,Mumbai Indians,Mumbai Indians
336022,Delhi,2008-05-17,AV Jayaprakash,RE Koertzen,2007/08,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,Kings XI Punjab,DPMD Jayawardene,Mumbai Indians,Delhi Daredevils
501258,Indore,2011-05-15,PR Reiffel,RJ Tucker,2011,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,field,Holkar Cricket Stadium,Kochi Tuskers Kerala,BJ Hodge,Mumbai Indians,Kochi Tuskers Kerala
548372,Delhi,2012-05-17,HDPK Dharmasena,C Shamshuddin,2012,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,field,Feroz Shah Kotla,Royal Challengers Bangalore,CH Gayle,Mumbai Indians,Delhi Daredevils
1175358,Mumbai,2019-03-24,S Ravi,YC Barde,2019,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Delhi Capitals,RR Pant,Mumbai Indians,Mumbai Indians
1304086,Mumbai,2022-04-27,CB Gaffaney,Navdeep Singh,2022,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai",Gujarat Titans,Umran Malik,Mumbai Indians,Gujarat Titans
980919,Chandigarh,2016-04-17,S Ravi,C Shamshuddin,2016,Kings XI Punjab,Rising Pune Supergiants,Rising Pune Supergiants,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,M Vohra,Mumbai Indians,Rising Pune Supergiants
1304069,Pune,2022-04-13,BNJ Oxenford,UV Gandhe,2022,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,MA Agarwal,Mumbai Indians,Mumbai Indians
335989,Chennai,2008-04-23,DJ Harper,GA Pratapkumar,2007/08,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,ML Hayden,Mumbai Indians,Mumbai Indians
729297,,2014-04-23,HDPK Dharmasena,RK Illingworth,2014,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Dubai International Cricket Stadium,Chennai Super Kings,RA Jadeja,Mumbai Indians,Rajasthan Royals
392186,Durban,2009-04-21,DJ Harper,SD Ranade,2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,Kolkata Knight Riders,CH Gayle,Mumbai Indians,Kolkata Knight Riders
548325,Mumbai,2012-04-16,BF Bowden,SK Tarapore,2012,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium,Delhi Daredevils,S Nadeem,Mumbai Indians,Delhi Daredevils
1304090,Navi Mumbai,2022-04-30,BNJ Oxenford,YC Barde,2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,SA Yadav,Mumbai Indians,Mumbai Indians
729281,,2014-04-17,Aleem Dar,S Ravi,2014,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sharjah Cricket Stadium,Royal Challengers Bangalore,YS Chahal,Mumbai Indians,Royal Challengers Bangalore
392190,Cape Town,2009-04-23,MR Benson,M Erasmus,2009,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Newlands,tie,YK Pathan,Mumbai Indians,Kolkata Knight Riders
